TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.2013
  Final Val Loss:       0.2140
  Final Train IoU:      0.8046
  Final Val IoU:        0.7722
  Final Train Dice:     0.9005
  Final Val Dice:       0.8787
  Final Train Accuracy: 0.9272
  Final Val Accuracy:   0.9223
==================================================

Best Results:
  Best Val IoU:      0.7780 (Epoch 77)
  Best Val Dice:     0.8823 (Epoch 77)
  Best Val Accuracy: 0.9225 (Epoch 79)
  Lowest Val Loss:   0.2137 (Epoch 79)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        0.4827       0.3177       0.5574       0.5707       0.7005       0.7117       0.8836       0.8825      
2        0.2993       0.2887       0.6062       0.6075       0.7475       0.7468       0.8909       0.8909      
3        0.2795       0.2755       0.6465       0.6535       0.7817       0.7859       0.8988       0.8983      
4        0.2689       0.2649       0.6581       0.6540       0.7940       0.7842       0.9016       0.9018      
5        0.2613       0.2622       0.6630       0.6564       0.7962       0.7862       0.9029       0.9025      
6        0.2599       0.2601       0.6943       0.6897       0.8245       0.8195       0.9035       0.9038      
7        0.2540       0.2560       0.6897       0.6862       0.8193       0.8169       0.9057       0.9054      
8        0.2552       0.2519       0.6917       0.6926       0.8196       0.8222       0.9068       0.9064      
9        0.2480       0.2514       0.7027       0.6998       0.8315       0.8285       0.9072       0.9066      
10       0.2445       0.2468       0.6996       0.7039       0.8281       0.8311       0.9090       0.9085      
11       0.2432       0.2448       0.7086       0.7069       0.8364       0.8319       0.9102       0.9096      
12       0.2430       0.2453       0.7191       0.7151       0.8459       0.8388       0.9103       0.9095      
13       0.2417       0.2417       0.7229       0.7186       0.8464       0.8422       0.9110       0.9105      
14       0.2391       0.2419       0.7189       0.7051       0.8410       0.8322       0.9114       0.9102      
15       0.2374       0.2414       0.7201       0.7153       0.8409       0.8382       0.9117       0.9110      
16       0.2361       0.2381       0.7411       0.7317       0.8626       0.8526       0.9126       0.9121      
17       0.2340       0.2372       0.7305       0.7308       0.8503       0.8523       0.9136       0.9123      
18       0.2348       0.2368       0.7422       0.7286       0.8603       0.8496       0.9131       0.9124      
19       0.2332       0.2370       0.7460       0.7426       0.8653       0.8603       0.9137       0.9128      
20       0.2314       0.2374       0.7484       0.7360       0.8646       0.8553       0.9137       0.9126      
21       0.2306       0.2357       0.7446       0.7435       0.8636       0.8603       0.9144       0.9137      
22       0.2301       0.2373       0.7498       0.7299       0.8661       0.8496       0.9138       0.9128      
23       0.2295       0.2319       0.7496       0.7463       0.8660       0.8625       0.9157       0.9145      
24       0.2272       0.2322       0.7580       0.7459       0.8718       0.8628       0.9160       0.9143      
25       0.2271       0.2321       0.7389       0.7313       0.8578       0.8510       0.9155       0.9144      
26       0.2259       0.2302       0.7493       0.7372       0.8649       0.8544       0.9167       0.9155      
27       0.2257       0.2288       0.7655       0.7485       0.8772       0.8635       0.9174       0.9158      
28       0.2252       0.2291       0.7673       0.7489       0.8766       0.8642       0.9172       0.9157      
29       0.2249       0.2327       0.7420       0.7234       0.8605       0.8467       0.9166       0.9143      
30       0.2234       0.2281       0.7588       0.7511       0.8715       0.8657       0.9175       0.9162      
31       0.2219       0.2275       0.7689       0.7488       0.8785       0.8630       0.9179       0.9163      
32       0.2215       0.2280       0.7606       0.7479       0.8733       0.8637       0.9183       0.9161      
33       0.2207       0.2269       0.7705       0.7573       0.8788       0.8694       0.9190       0.9168      
34       0.2211       0.2291       0.7644       0.7421       0.8760       0.8584       0.9180       0.9160      
35       0.2223       0.2253       0.7704       0.7504       0.8811       0.8645       0.9193       0.9172      
36       0.2194       0.2258       0.7767       0.7479       0.8853       0.8622       0.9192       0.9171      
37       0.2183       0.2245       0.7750       0.7579       0.8809       0.8696       0.9197       0.9177      
38       0.2178       0.2241       0.7768       0.7501       0.8834       0.8635       0.9199       0.9175      
39       0.2172       0.2234       0.7797       0.7594       0.8858       0.8711       0.9200       0.9182      
40       0.2172       0.2245       0.7805       0.7626       0.8864       0.8725       0.9201       0.9179      
41       0.2159       0.2226       0.7799       0.7542       0.8856       0.8673       0.9210       0.9184      
42       0.2158       0.2230       0.7802       0.7626       0.8856       0.8729       0.9210       0.9185      
43       0.2155       0.2232       0.7842       0.7626       0.8892       0.8730       0.9211       0.9185      
44       0.2145       0.2213       0.7847       0.7604       0.8882       0.8712       0.9218       0.9190      
45       0.2144       0.2226       0.7815       0.7564       0.8861       0.8683       0.9208       0.9184      
46       0.2131       0.2216       0.7818       0.7574       0.8840       0.8693       0.9218       0.9190      
47       0.2122       0.2225       0.7865       0.7554       0.8908       0.8661       0.9219       0.9189      
48       0.2123       0.2201       0.7889       0.7632       0.8916       0.8727       0.9227       0.9196      
49       0.2111       0.2196       0.7864       0.7638       0.8877       0.8739       0.9229       0.9197      
50       0.2098       0.2198       0.7912       0.7657       0.8931       0.8746       0.9228       0.9200      
51       0.2112       0.2199       0.7914       0.7647       0.8919       0.8743       0.9231       0.9197      
52       0.2104       0.2183       0.7890       0.7680       0.8922       0.8761       0.9238       0.9203      
53       0.2089       0.2188       0.7899       0.7637       0.8916       0.8726       0.9235       0.9202      
54       0.2092       0.2196       0.7881       0.7578       0.8913       0.8696       0.9233       0.9199      
55       0.2091       0.2189       0.7881       0.7703       0.8915       0.8777       0.9239       0.9202      
56       0.2102       0.2187       0.7929       0.7698       0.8940       0.8771       0.9239       0.9204      
57       0.2089       0.2177       0.7938       0.7678       0.8935       0.8761       0.9244       0.9206      
58       0.2072       0.2172       0.7953       0.7687       0.8954       0.8765       0.9247       0.9210      
59       0.2059       0.2171       0.7969       0.7709       0.8965       0.8777       0.9251       0.9209      
60       0.2055       0.2181       0.7885       0.7690       0.8867       0.8772       0.9245       0.9207      
61       0.2060       0.2186       0.7952       0.7681       0.8953       0.8763       0.9247       0.9203      
62       0.2036       0.2148       0.8014       0.7726       0.8964       0.8792       0.9265       0.9219      
63       0.2028       0.2145       0.8022       0.7730       0.8980       0.8792       0.9262       0.9220      
64       0.2028       0.2141       0.8028       0.7717       0.8995       0.8784       0.9264       0.9219      
65       0.2023       0.2138       0.8022       0.7691       0.8984       0.8765       0.9266       0.9219      
66       0.2020       0.2145       0.8051       0.7737       0.9008       0.8800       0.9267       0.9219      
67       0.2019       0.2144       0.8039       0.7744       0.9004       0.8800       0.9265       0.9221      
68       0.2019       0.2145       0.8005       0.7746       0.8966       0.8804       0.9268       0.9222      
69       0.2027       0.2140       0.8046       0.7771       0.9005       0.8819       0.9266       0.9223      
70       0.2018       0.2139       0.8055       0.7774       0.9014       0.8818       0.9263       0.9223      
71       0.2017       0.2139       0.8024       0.7743       0.8969       0.8802       0.9267       0.9223      
72       0.2019       0.2137       0.8047       0.7756       0.9007       0.8809       0.9267       0.9223      
73       0.2016       0.2139       0.8064       0.7762       0.9001       0.8812       0.9272       0.9222      
74       0.2009       0.2141       0.8000       0.7756       0.8953       0.8807       0.9270       0.9222      
75       0.2011       0.2140       0.8033       0.7762       0.8998       0.8814       0.9271       0.9223      
76       0.2013       0.2138       0.8059       0.7690       0.9016       0.8751       0.9269       0.9223      
77       0.2009       0.2141       0.8064       0.7780       0.8985       0.8823       0.9269       0.9222      
78       0.2015       0.2138       0.8037       0.7754       0.9004       0.8808       0.9272       0.9223      
79       0.2003       0.2137       0.8034       0.7741       0.8972       0.8803       0.9275       0.9225      
80       0.2013       0.2140       0.8046       0.7722       0.9005       0.8787       0.9272       0.9223      
